city,date,temp_min,temp_max,temp_feels_like,humidity,pressure,wind_speed,wind_gust,wind_deg,clouds,uvi,dew_point,pop,sunrise,sunset,moon_phase,conditions
"Le Mont-Saint-Michel, France",2025-04-24,8.52,14.66,13.88,65,1021,4.76,9.24,271,84,5.66,7.95,0,04:58:13,19:09:46,0.87,broken clouds
"Le Mont-Saint-Michel, France",2025-04-25,8.32,16.44,15.15,60,1020,3.77,6.24,109,100,5.81,7.84,0,04:56:24,19:11:15,0.91,overcast clouds
"Le Mont-Saint-Michel, France",2025-04-26,9.75,14.61,12.12,91,1022,4.33,6.24,321,100,4.41,10.81,1,04:54:37,19:12:44,0.94,moderate rain
"Le Mont-Saint-Michel, France",2025-04-27,7.69,16.41,15.53,69,1025,5.64,7.59,320,49,5.72,10.16,0,04:52:51,19:14:12,0,scattered clouds
"Le Mont-Saint-Michel, France",2025-04-28,8.55,19.13,18.18,59,1024,4.39,8.92,74,82,5.67,10.46,0,04:51:06,19:15:41,0.02,broken clouds
"Le Mont-Saint-Michel, France",2025-04-29,11.14,22.07,21.05,63,1021,5.96,11.25,119,0,6,13.7,0,04:49:23,19:17:09,0.06,clear sky
"Le Mont-Saint-Michel, France",2025-04-30,12.85,22.74,21.95,60,1019,6.03,11.9,112,1,6,13.77,0,04:47:41,19:18:37,0.1,clear sky
"Bormes-les-Mimosas, France",2025-04-24,10.7,21.58,17.92,44,1012,13.98,21.12,295,0,6.92,6.55,0,04:38:08,18:27:02,0.87,clear sky
"Bormes-les-Mimosas, France",2025-04-25,10.9,18.82,18.04,49,1011,4.2,7.82,343,2,7.16,7.87,0,04:36:38,18:28:13,0.91,clear sky
"Bormes-les-Mimosas, France",2025-04-26,11.79,17.49,16.91,62,1014,4.65,4.86,94,100,6.3,10.28,0.05,04:35:09,18:29:23,0.94,overcast clouds
"Bormes-les-Mimosas, France",2025-04-27,12.89,17.05,16.14,66,1019,7.53,11.3,90,96,5.33,10.55,0.41,04:33:41,18:30:34,0,light rain
"Bormes-les-Mimosas, France",2025-04-28,12.05,18.35,17.65,54,1021,3.46,3.67,160,42,2.88,8.84,0,04:32:14,18:31:44,0.02,scattered clouds
"Bormes-les-Mimosas, France",2025-04-29,13.02,19.06,18.54,58,1020,3.48,4.16,138,0,3,10.41,0,04:30:49,18:32:54,0.06,clear sky
"Bormes-les-Mimosas, France",2025-04-30,13.3,20.43,19.83,50,1019,2.68,3.27,138,0,3,8.94,0,04:29:24,18:34:04,0.1,clear sky
"Besançon, France",2025-04-24,9.35,14.07,13.42,81,1019,3.85,8.92,223,91,1.68,7.53,0.95,04:31:13,18:36:29,0.87,light rain
"Besançon, France",2025-04-25,7.83,13.84,10.54,84,1020,3.66,10.99,73,100,3.97,8.2,0.72,04:29:30,18:37:53,0.91,light rain
"Besançon, France",2025-04-26,6.69,15.54,14,58,1016,5.18,11.21,52,40,5.77,6.48,0,04:27:48,18:39:16,0.94,scattered clouds
"Besançon, France",2025-04-27,5.38,17.16,15.86,60,1021,2.59,8.31,284,57,6.01,8.31,0,04:26:07,18:40:40,0,broken clouds
"Besançon, France",2025-04-28,8.84,20.37,19.82,52,1022,3.76,6.57,12,40,6.06,9.91,0,04:24:27,18:42:03,0.02,scattered clouds
"Besançon, France",2025-04-29,9.56,22.34,21.88,48,1020,5.3,11.48,38,9,7,10.41,0,04:22:49,18:43:26,0.06,clear sky
"Besançon, France",2025-04-30,9.17,22.71,22.21,45,1019,5.61,10.8,49,4,7,9.68,0,04:21:12,18:44:49,0.1,clear sky
"Montauban, France",2025-04-24,10.57,16.73,15.46,67,1021,5.7,11.39,278,90,5.78,9.26,1,04:56:26,18:48:38,0.87,light rain
"Montauban, France",2025-04-25,8.42,20.12,16.33,58,1017,2.71,3.41,7,3,7.07,8.6,0,04:54:53,18:49:51,0.91,clear sky
