city_name,latitude,longitude,city_id,city_id_expected
Besançon,47.2380222,6.0243622,9,9
Bormes-les-Mimosas,43.1506968,6.3419285,11,11
Nimes,43.8374249,4.3600687,28,28
Dijon,47.3215806,5.0414701,17,17
Lille,50.6365654,3.0635282,24,24
Bayeux,49.2764624,-0.7024738,7,7
Le Mont-Saint-Michel,48.6355232,-1.5102571,23,23
Toulouse,43.6044638,1.4442433,34,34
Cassis,43.2140359,5.5396318,13,13
Strasbourg,48.584614,7.7507127,33,33
Aigues-Mortes,43.5661521,4.19154,1,1
Montauban,44.0175835,1.3549991,27,27
Saint-Malo,48.649518,-2.0260409,31,31
Annecy,45.8992348,6.1288847,4,4
Château du Haut-Koenigsbourg,48.2494107,7.3443202,14,14
Le Havre,49.4938975,0.1079732,22,22
Sainte-Marie de la Mer,43.5207784,4.4017751,32,32
Marseille,43.2961743,5.3699525,26,26
Biarritz,43.4832523,-1.5592776,10,10
Grenoble,45.1875602,5.7357819,20,20
Rouen,49.4404591,1.0939658,30,30
Aix-en-Provence,43.5298424,5.4474738,2,2
Colmar,48.0777517,7.3579641,16,16
Bayonne,43.4945144,-1.4736657,8,8
Eguisheim,48.0447968,7.3079618,18,18
Collioure,42.52505,3.0831554,15,15
Carcassonne,43.2130358,2.3491069,12,12
Lyon,45.7578137,4.8320114,25,25
Gorges du Verdon,43.7496562,6.3285616,19,19
Paris,48.8588897,2.320041,29,29
Uzes,44.0121279,4.4196718,35,35
Avignon,43.9492493,4.8059012,6,6
La Rochelle,46.159732,-1.1515951,21,21
Amiens,49.8941708,2.2956951,3,3
Ariège,42.9455368,1.4065544,5,5
